태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자,제공기관코드,제공기관명
가족3호태양광발전소,,전북특별자치도 진안군 진안읍 반월리 820,,,,정상가동,99.45,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
일직태양광발전소,,"경상북도 안동시 일직면 조탐리 681,산25",,,,정상가동,99,380,60,2021,,,,,2026-05-06,5070000,경상북도 안동시
원림3태양광발전소,,"경상북도 안동시 남선면 원림리 861,859-1,859-2,860",,,,정상가동,99.96,380,60,2021,,,,,2026-05-06,5070000,경상북도 안동시
원림1태양광발전소,,"경상북도 안동시 남선면 원림리 861,859-1,859-2,860",,,,정상가동,99.96,380,60,2021,,,,,2026-05-06,5070000,경상북도 안동시
준태양광발전소,,경상북도 안동시 남후면 단호리 869,,,,정상가동,83.52,380,60,2021,,,,,2026-05-06,5070000,경상북도 안동시
단호태양광발전소,,경상북도 안동시 남후면 단호리 719-1,,,,정상가동,59.16,380,60,2021,,,,,2026-05-06,5070000,경상북도 안동시
안동콩마실1호태양광발전소,,경상북도 안동시 와룡면 이하리 322-5,,,,정상가동,28.35,380,60,2021,,,,,2026-05-06,5070000,경상북도 안동시
주현태양광,,전북특별자치도 진안군 성수면 좌포리 279-1,,,,정상가동,99.96,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
야곡2호태양광발전소,,전북특별자치도 진안군 부귀면 수항리 1478,,,,정상가동,99.96,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
참사랑5호태양광발전소,,"전북특별자치도 진안군 부귀면 수항리 816, 817",,,,정상가동,99.76,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
양지발전소,,전북특별자치도 진안군 진안읍 오천리 198 건물상부,,,,정상가동,19.72,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
남이발전소,,전북특별자치도 진안군 진안읍 오천리 331-1 건물상부,,,,정상가동,19.72,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
야곡2호태양광발전소,,"전북특별자치도 진안군 부귀면 수항리 777-3, 777-5, 780-1, 781",,,,정상가동,99.64,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
맑은하늘에너지,,"전북특별자치도 진안군 마령면 계서리 594-51, 586-2",,,,정상가동,99.84,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
늘해봄3에너지,,"전북특별자치도 진안군 마령면 계서리 594-51, 586-1, 586-2",,,,정상가동,99.84,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
봄빛4호태양광발전소,,전북특별자치도 진안군 마령면 계서리 587,,,,정상가동,99.84,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
봄빛3호태양광발전소,,"전북특별자치도 진안군 마령면 계서리 594-62, 587",,,,정상가동,99.84,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
계서8호에너지,,"전북특별자치도 진안군 마령면 계서리 586-1, 586-2",,,,정상가동,60.48,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
용담5호태양광발전소,,전북특별자치도 진안군 상전면 월포리 1385-1,,,,정상가동,99.76,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
용담4호태양광발전소,,전북특별자치도 진안군 상전면 월포리 1385-1,,,,정상가동,99.76,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
용담3호태양광발전소,,전북특별자치도 진안군 상전면 월포리 1385-1,,,,정상가동,99.76,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
용담2호태양광발전소,,전북특별자치도 진안군 상전면 월포리 1385-1,,,,정상가동,99.76,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
용담1호태양광발전소,,전북특별자치도 진안군 상전면 월포리 1385-1,,,,정상가동,99.76,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
우리태양광발전소,,"전북특별자치도 진안군 마령면 계서리 589-1, 589-2, 589-3",,,,정상가동,99.84,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
찬율태양광발전소,,"전북특별자치도 진안군 마령면 계서리 589-2, 589-3",,,,정상가동,99.84,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
물곡3호태양광발전소,,전북특별자치도 진안군 진안읍 물곡리 1216-1,,,,정상가동,49.92,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
물곡2호태양광발전소,,전북특별자치도 진안군 진안읍 물곡리 1216-1,,,,정상가동,99.84,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
물곡1호태양광발전소,,전북특별자치도 진안군 진안읍 물곡리 1216-1,,,,정상가동,99.84,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
운산태양광발전소11호,,전북특별자치도 진안군 진안읍 운산리 1742-2,,,,정상가동,99.51,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
운산태양광발전소8호,,전북특별자치도 진안군 진안읍 운산리 1742-1,,,,정상가동,99.51,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
