episode,sample_mean,Expected SARSA,Risk-aware Q-learning
485,388.2,385.7,390.7
486,366.7,374.7,358.7
487,370.2,380.7,359.7
488,366.7,374.7,358.7
489,343.7,357.7,329.7
490,365.7,361.7,369.7
491,378.7,388.7,368.7
492,371.2,382.7,359.7
493,407.2,369.7,444.7
494,358.7,357.7,359.7
495,358.7,358.7,358.7
496,359.2,359.7,358.7
497,339.7,359.7,319.7
498,343.2,318.7,367.7
499,345.7,332.7,358.7
500,360.2,358.7,361.7
501,358.7,357.7,359.7
502,368.2,371.7,364.7
503,359.2,358.7,359.7
504,363.7,358.7,368.7
505,364.7,369.7,359.7
506,364.7,369.7,359.7
507,342.7,365.7,319.7
508,376.2,359.7,392.7
509,359.2,359.7,358.7
510,364.2,360.7,367.7
511,365.2,359.7,370.7
512,364.2,397.7,330.7
513,369.7,369.7,369.7
514,364.2,359.7,368.7
515,376.7,359.7,393.7
516,351.2,340.7,361.7
517,384.7,370.7,398.7
518,365.2,369.7,360.7
519,375.7,358.7,392.7
520,363.7,369.7,357.7
521,358.7,357.7,359.7
522,369.2,378.7,359.7
523,364.2,359.7,368.7
524,372.2,359.7,384.7
525,364.7,369.7,359.7
526,363.7,369.7,357.7
527,365.2,359.7,370.7
528,359.2,357.7,360.7
529,393.2,372.7,413.7
530,350.2,379.7,320.7
531,355.2,390.7,319.7
532,374.2,379.7,368.7
533,364.2,359.7,368.7
534,369.2,378.7,359.7
535,363.7,367.7,359.7
536,344.7,358.7,330.7
537,383.7,379.7,387.7
538,376.2,369.7,382.7
539,339.7,359.7,319.7
540,355.7,359.7,351.7
541,352.2,358.7,345.7
542,347.2,359.7,334.7
543,378.7,370.7,386.7
544,388.2,416.7,359.7
545,359.2,359.7,358.7
546,384.7,369.7,399.7
547,370.7,361.7,379.7
548,359.7,359.7,359.7
549,367.7,375.7,359.7
550,390.7,379.7,401.7
551,368.7,368.7,368.7
552,380.7,368.7,392.7
553,374.2,378.7,369.7
554,389.2,368.7,409.7
555,342.7,320.7,364.7
556,349.7,360.7,338.7
557,367.7,375.7,359.7
558,360.2,358.7,361.7
559,379.7,369.7,389.7
560,379.2,379.7,378.7
561,372.2,359.7,384.7
562,362.2,365.7,358.7
563,339.7,358.7,320.7
564,381.7,405.7,357.7
565,364.2,359.7,368.7
566,367.7,358.7,376.7
567,359.2,358.7,359.7
568,359.2,358.7,359.7
569,359.7,359.7,359.7
570,364.2,369.7,358.7
571,364.7,359.7,369.7
572,358.7,358.7,358.7
573,349.7,359.7,339.7
574,374.7,368.7,380.7
575,348.7,319.7,377.7
576,330.2,320.7,339.7
577,358.2,357.7,358.7
578,379.7,369.7,389.7
579,372.7,365.7,379.7
580,377.2,387.7,366.7
581,363.7,388.7,338.7
582,369.7,379.7,359.7
583,359.7,359.7,359.7
584,343.7,319.7,367.7
585,360.2,359.7,360.7
586,410.7,397.7,423.7
587,354.7,339.7,369.7
588,359.2,358.7,359.7
589,362.2,357.7,366.7
590,361.2,361.7,360.7
591,359.7,359.7,359.7
592,379.7,398.7,360.7
593,365.2,360.7,369.7
594,369.2,369.7,368.7
595,360.2,361.7,358.7
596,348.7,368.7,328.7
597,378.7,395.7,361.7
598,387.2,378.7,395.7
599,363.7,368.7,358.7
600,370.7,361.7,379.7
601,356.7,353.7,359.7
602,371.7,368.7,374.7
603,355.2,379.7,330.7
604,368.7,368.7,368.7
605,364.7,369.7,359.7
606,384.2,369.7,398.7
607,389.7,369.7,409.7
608,328.2,320.7,335.7
609,350.2,340.7,359.7
610,320.7,359.7,281.7
611,335.7,349.7,321.7
612,358.7,358.7,358.7
613,369.7,359.7,379.7
614,393.7,376.7,410.7
615,360.7,360.7,360.7
616,379.2,386.7,371.7
617,339.7,320.7,358.7
618,339.7,358.7,320.7
619,359.2,358.7,359.7
620,373.7,368.7,378.7
621,380.2,399.7,360.7
622,360.2,360.7,359.7
623,359.7,360.7,358.7
624,363.2,358.7,367.7
625,359.2,360.7,357.7
626,368.7,359.7,377.7
627,372.7,367.7,377.7
628,359.7,359.7,359.7
629,379.2,368.7,389.7
630,384.2,378.7,389.7
631,371.7,358.7,384.7
632,363.7,368.7,358.7
633,344.2,368.7,319.7
634,359.7,359.7,359.7
635,359.7,360.7,358.7
636,368.2,359.7,376.7
637,361.7,358.7,364.7
638,340.2,359.7,320.7
639,377.2,363.7,390.7
640,365.2,370.7,359.7
641,384.7,370.7,398.7
642,359.2,358.7,359.7
643,363.7,358.7,368.7
644,364.2,358.7,369.7
645,359.7,359.7,359.7
646,370.7,380.7,360.7
647,364.2,358.7,369.7
648,363.7,359.7,367.7
649,368.2,365.7,370.7
650,348.7,367.7,329.7
651,370.7,369.7,371.7
652,374.2,389.7,358.7
653,397.7,407.7,387.7
654,364.7,369.7,359.7
655,375.7,370.7,380.7
656,359.2,358.7,359.7
657,350.2,369.7,330.7
658,365.2,370.7,359.7
659,364.2,359.7,368.7
660,379.2,389.7,368.7
661,384.2,359.7,408.7
662,367.2,360.7,373.7
663,359.2,359.7,358.7
664,371.7,373.7,369.7
665,360.2,358.7,361.7
666,373.7,388.7,358.7
667,379.2,398.7,359.7
668,373.7,376.7,370.7
669,364.2,369.7,358.7
670,350.7,379.7,321.7
671,342.2,363.7,320.7
672,365.2,370.7,359.7
673,365.7,342.7,388.7
674,385.7,389.7,381.7
675,349.7,359.7,339.7
676,369.2,379.7,358.7
677,359.7,319.7,399.7
678,364.2,359.7,368.7
679,359.2,358.7,359.7
680,370.2,359.7,380.7
681,339.7,360.7,318.7
682,339.7,320.7,358.7
683,339.2,318.7,359.7
684,367.2,359.7,374.7
685,344.7,329.7,359.7
686,366.7,360.7,372.7
687,365.2,360.7,369.7
688,363.2,318.7,407.7
689,374.2,378.7,369.7
690,345.7,370.7,320.7
691,375.7,378.7,372.7
692,386.2,391.7,380.7
693,354.2,378.7,329.7
694,364.2,368.7,359.7
695,372.7,379.7,365.7
696,369.7,370.7,368.7
697,383.7,409.7,357.7
698,343.7,358.7,328.7
699,364.7,359.7,369.7
700,339.2,358.7,319.7
701,370.7,358.7,382.7
702,367.2,375.7,358.7
703,398.2,427.7,368.7
704,384.2,369.7,398.7
705,368.2,377.7,358.7
706,389.2,368.7,409.7
707,367.7,376.7,358.7
708,364.2,368.7,359.7
709,395.2,359.7,430.7
710,364.7,369.7,359.7
711,363.7,358.7,368.7
712,363.7,359.7,367.7
713,359.7,358.7,360.7
714,344.7,359.7,329.7
715,383.7,388.7,378.7
716,350.2,340.7,359.7
717,432.7,430.7,434.7
718,374.2,359.7,388.7
719,379.2,391.7,366.7
720,358.7,397.7,319.7
721,369.2,378.7,359.7
722,379.2,398.7,359.7
723,364.7,360.7,368.7
724,364.7,359.7,369.7
725,400.7,442.7,358.7
726,374.7,389.7,359.7
727,379.2,368.7,389.7
728,341.7,323.7,359.7
729,359.7,359.7,359.7
